zone_id,Start_Hour,avg_fare,avg_trip_time_min,demand,income_per_min
0,0,15.094159721040993,10.211906786868516,11758,1.478094153821553
0,1,16.26239170040486,10.23180330634278,9880,1.5893964351644316
0,2,17.62694922547332,10.463231497418244,9296,1.6846563348830323
0,3,23.980209990454977,12.176722522713614,9429,1.9693484799151788
0,4,27.55242063855091,12.843483365352363,10931,2.14524516868053
0,5,27.56412297956042,13.018643632942787,11693,2.1172807057880663
0,6,24.997599141016465,12.79672751133381,13970,1.9534368547643595
0,7,21.06609672716304,12.455639066244364,19891,1.691289914160535
0,8,20.90725267800882,13.422510370720438,25392,1.5576261146808597
0,9,19.998058561425843,13.11327121201405,28278,1.5250243999456157
0,10,19.80291450652069,13.051279987119626,31055,1.5173158897873837
0,11,19.036124368242593,12.976824899238693,31262,1.466932359498769
0,12,17.28164542294322,12.594154061361477,31931,1.3721958091621922
0,13,16.877260526809735,12.558289536799515,31966,1.3439139524020651
0,14,16.990513874937218,12.60282102795915,31856,1.3481516429729536
0,15,17.004054529722723,12.906997879742276,32386,1.317429094523277
0,16,17.46558731938216,13.43491062531141,32112,1.3000151475869846
0,17,16.870455979262314,13.537621932810726,32019,1.2461905098984851
0,18,15.903606266043573,12.1179408280129,30386,1.3124017101386891
0,19,15.483998571535976,11.460974112222138,26602,1.351019417714558
0,20,16.193401397903145,11.48630887002829,20030,1.4098002744952531
0,21,16.27999165921954,11.101721775394697,16785,1.4664384487910427
0,22,15.601558433980978,10.778887332983254,17139,1.4474182679542826
0,23,14.932557780067718,10.187088424358407,13586,1.4658317625242547
1,0,50.57767070174252,18.76369145570809,44361,2.695507481623842
1,1,49.995085857809215,18.349375501905104,19509,2.7246205655673963
1,2,50.63802524021225,17.35051866724031,6973,2.9185309218347704
1,3,49.324734316078164,14.027162609987428,2917,3.5163728893367674
1,4,51.149460255152114,9.62565423617926,2038,5.313868439497887
1,5,50.959384236453204,7.753743842364532,2030,6.57222952840198
1,6,54.89891424521616,18.801972596267422,7055,2.919848646950731
1,7,55.29370065144023,21.308105067629437,12741,2.5949609538691725
1,8,54.64464803125939,22.0164191964733,16635,2.4819952574309925
1,9,54.934409391263664,22.663905619554413,34202,2.4238721389602977
1,10,55.601767189241755,23.39207599079762,42163,2.3769488099780176
1,11,56.67075039165527,23.821510302020744,50427,2.3789738632503066
1,12,56.80686939889868,23.17163985336233,64831,2.451568803865027
1,13,57.84080222424558,25.360702284946235,61504,2.2807255719641124
1,14,58.19075391323568,26.548659419561822,49767,2.191852816129731
1,15,58.456798718994904,27.686975934964355,64949,2.111346463272395
1,16,58.20820360706455,28.173506263917456,58829,2.0660617482891475
1,17,57.28156038639901,28.48759738292223,64907,2.0107543509702297
1,18,56.28569754220239,25.691245517362024,57165,2.1908512572566705
1,19,55.820442545109216,22.71973581973582,57915,2.456914243545913
1,20,54.41778699885354,21.42305145360278,58441,2.5401510665606852
1,21,53.59225020881186,19.570676506925594,76624,2.7383953840250155
1,22,52.85819836536337,20.384540411849887,67905,2.593053230409648
1,23,51.04073986049118,19.13197366980336,51753,2.6678240698736952
2,0,17.227201726844584,12.916777864992149,2548,1.333707361611816
2,1,16.77029953917051,11.93575908858167,2604,1.4050467519249612
2,2,16.138012504113195,10.918909729077548,3039,1.4779875376327127
2,3,19.588396226415092,12.123406708595388,1590,1.6157501515252386
